date,call_open_interest_market_value,put_open_interest,put_open_interest_market_value,max_pain_price,call_open_interest,call_open_interest_notional,put_open_interest_notional,api_version,scope,symbol,endpoint,path,fetched_at
260423,280689.8,20827.0,57573.96,2375,14396.1,34530811.07,49955046.23,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260424,30642280.51,232702.1,5245791.43,2200,335688.5,805225439.04,558151785.6,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260425,346309.15,4766.7,71570.46,2350,8796.0,21097351.1,11433372.0,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260426,98816.31,505.7,16079.77,2425,5708.4,13692750.78,1212922.82,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260501,3546734.14,54270.0,1475616.18,2350,58946.0,141403280.65,130170341.98,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260508,2050815.52,20697.0,896688.94,2350,30181.0,72403702.7,49649736.01,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260529,39896530.03,127589.9,6653245.57,2150,286020.3,686094553.21,306023395.5,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260626,62564770.82,201667.8,89983204.58,2400,459600.9,1102363226.21,483726012.67,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260925,21355228.59,80177.0,30835636.65,2600,166272.0,398800369.34,192311573.31,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
261225,75779198.26,70685.0,16546980.13,2200,235376.0,564601682.53,169531600.51,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
270326,2509679.64,6213.0,1684553.69,2200,7223.0,17323619.0,14902649.52,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-22T21:32:41.287391+00:00
260423,198030.79,21348.0,99103.37,2375,14555.1,34489834.02,50593940.28,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260424,29906138.48,233432.1,5427645.4,2200,335090.5,794124311.25,553219696.62,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260425,282283.29,4994.7,97992.94,2350,8917.8,21137814.19,11836449.72,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260426,74160.46,553.4,16975.23,2425,7031.5,16663483.1,1311652.99,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260501,3102536.77,55272.1,1801175.24,2350,59252.0,140440529.1,131002999.44,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260508,1795902.5,20714.0,964047.85,2350,30372.0,71991565.85,49094391.2,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260529,39612574.8,128414.9,6929676.86,2150,286011.3,677725046.81,304329321.29,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260626,61784747.02,201836.1,88984712.37,2400,459523.9,1089178207.54,478379284.2,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260925,21268030.24,80178.0,30547329.16,2600,166241.0,393938098.36,189998124.3,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
261225,74772364.85,70685.0,16335241.35,2200,235381.0,557822310.94,167512247.68,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
270326,2477376.39,6217.0,1670304.33,2200,7224.0,17122670.47,14732914.61,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-23T01:09:38.300310+00:00
260424,17201307.68,249937.6,5440247.94,2200,326562.6,753981214.45,577157333.08,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260425,70332.44,9552.1,155617.0,2325,9781.6,22589328.19,22066720.31,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260426,64004.67,4358.1,87807.5,2325,10423.3,24063370.73,10064192.55,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260427,56352.96,7702.4,59979.29,2300,3010.9,6952539.84,17781126.39,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260501,1966116.27,62703.8,2156185.54,2350,63688.3,146998238.93,144783488.46,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260508,1270746.75,21395.4,1177144.61,2350,30743.3,70978221.96,49393911.46,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260515,66451.29,744.0,62383.49,2300,897.0,2071508.91,1717688.55,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260529,32449910.2,128214.7,7904113.91,2150,284829.1,657824687.86,296030013.68,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260626,57949016.67,202204.4,88530384.48,2400,459206.1,1060385571.57,466848535.42,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260731,38773.29,257.0,66891.0,2300,161.0,371651.41,593779.97,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
260925,20054886.14,80307.0,30271075.37,2600,166295.0,383966628.92,185451998.8,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
261225,72451890.67,72893.0,16809122.56,2200,235386.0,543292744.8,168317137.53,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
270326,2340277.31,6292.0,1670176.29,2200,7251.0,16743611.16,14521965.16,v4,snapshot,ETH,option_maxpain,option/max-pain,2026-04-24T04:29:39.272991+00:00
